"k0","year","","","hh","mm","fecha","variables","files"
"4","2010","1","18","18","0","2010-01-18 18:00:00","PS","MERRA2.2010018.180.resampled.PS.tif"
"4","2010","1","18","18","0","2010-01-18 18:00:00","RH","MERRA2.2010018.180.resampled.RH.tif"
"4","2010","1","18","18","0","2010-01-18 18:00:00","T","MERRA2.2010018.180.resampled.T.tif"
"4","2010","1","18","18","0","2010-01-18 18:00:00","U","MERRA2.2010018.180.resampled.U.tif"
"4","2010","1","18","18","0","2010-01-18 18:00:00","V","MERRA2.2010018.180.resampled.V.tif"
"4","2010","1","19","15","0","2010-01-19 15:00:00","PS","MERRA2.2010019.150.resampled.PS.tif"
"4","2010","1","19","15","0","2010-01-19 15:00:00","RH","MERRA2.2010019.150.resampled.RH.tif"
"4","2010","1","19","15","0","2010-01-19 15:00:00","T","MERRA2.2010019.150.resampled.T.tif"
"4","2010","1","19","15","0","2010-01-19 15:00:00","U","MERRA2.2010019.150.resampled.U.tif"
"4","2010","1","19","15","0","2010-01-19 15:00:00","V","MERRA2.2010019.150.resampled.V.tif"
"4","2010","1","19","18","0","2010-01-19 18:00:00","PS","MERRA2.2010019.180.resampled.PS.tif"
"4","2010","1","19","18","0","2010-01-19 18:00:00","RH","MERRA2.2010019.180.resampled.RH.tif"
"4","2010","1","19","18","0","2010-01-19 18:00:00","T","MERRA2.2010019.180.resampled.T.tif"
"4","2010","1","19","18","0","2010-01-19 18:00:00","U","MERRA2.2010019.180.resampled.U.tif"
"4","2010","1","19","18","0","2010-01-19 18:00:00","V","MERRA2.2010019.180.resampled.V.tif"
"4","2010","1","20","18","0","2010-01-20 18:00:00","PS","MERRA2.2010020.180.resampled.PS.tif"
"4","2010","1","20","18","0","2010-01-20 18:00:00","RH","MERRA2.2010020.180.resampled.RH.tif"
"4","2010","1","20","18","0","2010-01-20 18:00:00","T","MERRA2.2010020.180.resampled.T.tif"
"4","2010","1","20","18","0","2010-01-20 18:00:00","U","MERRA2.2010020.180.resampled.U.tif"
"4","2010","1","20","18","0","2010-01-20 18:00:00","V","MERRA2.2010020.180.resampled.V.tif"
"4","2010","1","21","18","0","2010-01-21 18:00:00","PS","MERRA2.2010021.180.resampled.PS.tif"
"4","2010","1","21","18","0","2010-01-21 18:00:00","RH","MERRA2.2010021.180.resampled.RH.tif"
"4","2010","1","21","18","0","2010-01-21 18:00:00","T","MERRA2.2010021.180.resampled.T.tif"
"4","2010","1","21","18","0","2010-01-21 18:00:00","U","MERRA2.2010021.180.resampled.U.tif"
"4","2010","1","21","18","0","2010-01-21 18:00:00","V","MERRA2.2010021.180.resampled.V.tif"
"4","2010","1","22","18","0","2010-01-22 18:00:00","PS","MERRA2.2010022.180.resampled.PS.tif"
"4","2010","1","22","18","0","2010-01-22 18:00:00","RH","MERRA2.2010022.180.resampled.RH.tif"
"4","2010","1","22","18","0","2010-01-22 18:00:00","T","MERRA2.2010022.180.resampled.T.tif"
"4","2010","1","22","18","0","2010-01-22 18:00:00","U","MERRA2.2010022.180.resampled.U.tif"
"4","2010","1","22","18","0","2010-01-22 18:00:00","V","MERRA2.2010022.180.resampled.V.tif"
"4","2010","1","23","18","0","2010-01-23 18:00:00","PS","MERRA2.2010023.180.resampled.PS.tif"
"4","2010","1","23","18","0","2010-01-23 18:00:00","RH","MERRA2.2010023.180.resampled.RH.tif"
"4","2010","1","23","18","0","2010-01-23 18:00:00","T","MERRA2.2010023.180.resampled.T.tif"
"4","2010","1","23","18","0","2010-01-23 18:00:00","U","MERRA2.2010023.180.resampled.U.tif"
"4","2010","1","23","18","0","2010-01-23 18:00:00","V","MERRA2.2010023.180.resampled.V.tif"
"4","2010","1","24","18","0","2010-01-24 18:00:00","PS","MERRA2.2010024.180.resampled.PS.tif"
"4","2010","1","24","18","0","2010-01-24 18:00:00","RH","MERRA2.2010024.180.resampled.RH.tif"
"4","2010","1","24","18","0","2010-01-24 18:00:00","T","MERRA2.2010024.180.resampled.T.tif"
"4","2010","1","24","18","0","2010-01-24 18:00:00","U","MERRA2.2010024.180.resampled.U.tif"
"4","2010","1","24","18","0","2010-01-24 18:00:00","V","MERRA2.2010024.180.resampled.V.tif"
"4","2010","1","25","15","0","2010-01-25 15:00:00","PS","MERRA2.2010025.150.resampled.PS.tif"
"4","2010","1","25","15","0","2010-01-25 15:00:00","RH","MERRA2.2010025.150.resampled.RH.tif"
"4","2010","1","25","15","0","2010-01-25 15:00:00","T","MERRA2.2010025.150.resampled.T.tif"
"4","2010","1","25","15","0","2010-01-25 15:00:00","U","MERRA2.2010025.150.resampled.U.tif"
"4","2010","1","25","15","0","2010-01-25 15:00:00","V","MERRA2.2010025.150.resampled.V.tif"
"4","2010","1","25","18","0","2010-01-25 18:00:00","PS","MERRA2.2010025.180.resampled.PS.tif"
"4","2010","1","25","18","0","2010-01-25 18:00:00","RH","MERRA2.2010025.180.resampled.RH.tif"
"4","2010","1","25","18","0","2010-01-25 18:00:00","T","MERRA2.2010025.180.resampled.T.tif"
"4","2010","1","25","18","0","2010-01-25 18:00:00","U","MERRA2.2010025.180.resampled.U.tif"
"4","2010","1","25","18","0","2010-01-25 18:00:00","V","MERRA2.2010025.180.resampled.V.tif"
"4","2010","1","26","18","0","2010-01-26 18:00:00","PS","MERRA2.2010026.180.resampled.PS.tif"
"4","2010","1","26","18","0","2010-01-26 18:00:00","RH","MERRA2.2010026.180.resampled.RH.tif"
"4","2010","1","26","18","0","2010-01-26 18:00:00","T","MERRA2.2010026.180.resampled.T.tif"
"4","2010","1","26","18","0","2010-01-26 18:00:00","U","MERRA2.2010026.180.resampled.U.tif"
"4","2010","1","26","18","0","2010-01-26 18:00:00","V","MERRA2.2010026.180.resampled.V.tif"
"4","2010","1","27","12","0","2010-01-27 12:00:00","PS","MERRA2.2010027.120.resampled.PS.tif"
