Fecha_Hora (yyyy-mm-dd hh:mm:ss);Satelite;AODnm;valor_AOD;estacion_pm
08/03/2010 18:35;A;470;0.122338369;DKS
08/03/2010 18:35;A;470;NA;BB1
08/03/2010 18:35;A;470;NA;BB2
10/03/2010 18:25;A;470;0.084166199;LBO
10/03/2010 18:25;A;470;0.074206211;CEN
10/03/2010 18:25;A;470;0.142000005;COR
10/03/2010 18:25;A;470;0.112747639;PAL
10/03/2010 18:25;A;470;0.020868024;LMA
10/03/2010 18:25;A;470;0.018999999;DKS
10/03/2010 18:25;A;470;NA;BB1
10/03/2010 18:25;A;470;NA;BB2
13/03/2010 17:20;A;470;0.10186056;LBO
13/03/2010 17:20;A;470;0.101666696;CEN
13/03/2010 17:20;A;470;0.101277046;COR
13/03/2010 17:20;A;470;0.10231185;PAL
13/03/2010 17:20;A;470;0.096361183;LMA
13/03/2010 17:20;A;470;0.079517841;DKS
13/03/2010 17:20;A;470;NA;BB1
13/03/2010 17:20;A;470;NA;BB2
14/03/2010 18:00;A;470;0.124842413;LBO
14/03/2010 18:00;A;470;0.120592751;CEN
14/03/2010 18:00;A;470;0.112939537;COR
14/03/2010 18:00;A;470;0.108791023;PAL
14/03/2010 18:00;A;470;0.096887201;LMA
14/03/2010 18:00;A;470;0.067268476;DKS
14/03/2010 18:00;A;470;NA;BB1
14/03/2010 18:00;A;470;NA;BB2
15/03/2010 17:05;A;470;0.131226674;LBO
15/03/2010 17:05;A;470;0.134872243;CEN
15/03/2010 17:05;A;470;0.129667073;COR
15/03/2010 17:05;A;470;0.129133478;PAL
15/03/2010 17:05;A;470;0.073218457;LMA
15/03/2010 17:05;A;470;0.075310625;DKS
15/03/2010 17:05;A;470;NA;BB1
15/03/2010 17:05;A;470;NA;BB2
15/03/2010 18:45;A;470;0.090805471;LBO
15/03/2010 18:45;A;470;0.062772259;CEN
15/03/2010 18:45;A;470;0.056995004;COR
15/03/2010 18:45;A;470;0.05723507;PAL
15/03/2010 18:45;A;470;0.037991226;LMA
15/03/2010 18:45;A;470;0.052426811;DKS
15/03/2010 18:45;A;470;NA;BB1
15/03/2010 18:45;A;470;NA;BB2
16/03/2010 17:50;A;470;0.285981089;LBO
16/03/2010 17:50;A;470;0.270357311;CEN
16/03/2010 17:50;A;470;0.267591476;COR
16/03/2010 17:50;A;470;0.235481188;PAL
16/03/2010 17:50;A;470;0.125462592;LMA
16/03/2010 17:50;A;470;0.051804647;DKS
16/03/2010 17:50;A;470;NA;BB1
16/03/2010 17:50;A;470;NA;BB2
20/03/2010 17:25;A;470;0.296929687;LBO
20/03/2010 17:25;A;470;0.301849633;CEN
20/03/2010 17:25;A;470;0.288121194;COR
20/03/2010 17:25;A;470;0.285430491;PAL
20/03/2010 17:25;A;470;0.179572433;LMA
20/03/2010 17:25;A;470;0.163746521;DKS
20/03/2010 17:25;A;470;NA;BB1
20/03/2010 17:25;A;470;NA;BB2
23/03/2010 17:55;A;470;0.192747355;LBO
23/03/2010 17:55;A;470;0.202909201;CEN
23/03/2010 17:55;A;470;0.22506921;COR
